station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
Métro Mont-Royal (Utilités publiques / Rivard),-73.58166217803955,45.52424701428399,Le Plateau-Mont-Royal,7159,6918,14077
Métro Papineau (Dorion / De Maisonneuve),-73.55236601831166,45.5238445756922,Ville-Marie,3076,4185,7261
Métro Parc  (Hutchison / Ogilvy),-73.6243924498558,45.53035130173597,Villeray—Saint-Michel—Parc-Extension,1299,1191,2490
Métro Peel (de Maisonneuve / Stanley),-73.57507,45.50038,Ville-Marie,3435,3275,6710
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),-73.55137467384337,45.55437339981968,Mercier - Hochelaga-Maisonneuve,1377,1252,2629
Métro Place-d'Armes (St-Urbain / Viger),-73.55969488620758,45.5063863763071,Ville-Marie,897,1550,2447
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),-73.56881439685822,45.50820461505136,Ville-Marie,36,76,112
Métro Préfontaine (Moreau / Hochelaga),-73.5537427291274,45.54131350328532,Mercier - Hochelaga-Maisonneuve,457,642,1099
Métro Radisson (Sherbrooke / des Groseilliers),-73.53965610265732,45.58917500418707,Mercier - Hochelaga-Maisonneuve,198,224,422
Métro Rosemont (de St-Vallier / Rosemont),-73.5975547786984,45.53180536220488,Rosemont - La Petite-Patrie,2624,2233,4857
Métro Sauvé (Berri / Sauvé),-73.65636706352234,45.55069206841976,Ahuntsic-Cartierville,333,316,649
Métro Sherbrooke (de Rigaud / Berri),-73.56800436973572,45.51814312154928,Le Plateau-Mont-Royal,4677,3517,8194
Métro St-Laurent (de Maisonneuve / St-Laurent),-73.56512099504471,45.51074821798916,Ville-Marie,2718,4096,6814
Métro St-Michel (Shaughnessy / St-Michel),-73.59951764345168,45.55897660298603,Villeray—Saint-Michel—Parc-Extension,29,24,53
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),-73.6182689666748,45.50363996257211,Côte-des-Neiges - Notre-Dame-de-Grâce,886,437,1323
Métro Verdun (Willibrord / de Verdun),-73.57252441513992,45.45944220460236,Verdun,714,775,1489
Métro Viau (Pierre-de-Coubertin / Viau),-73.54622590548388,45.56228814999496,Mercier - Hochelaga-Maisonneuve,968,799,1767
Métro Villa-Maria (de Monkland / Décarie),-73.61956179141998,45.4790046017838,Côte-des-Neiges - Notre-Dame-de-Grâce,526,248,774
Métro de l'Église (Ross / de l'Église),-73.56593772768973,45.4628312022419,Verdun,1067,1310,2377
Notre-Dame / St-Gabriel,-73.55511903762817,45.50714391928411,Ville-Marie,859,912,1771
Notre-Dame / St-Henri,-73.5600175754007,45.50019918807319,Ville-Marie,12,9,21
Notre-Dame / St-Martin,-73.56871783733366,45.48830194643546,Le Sud-Ouest,1163,1407,2570
Omer-Lavallée / du Midway,-73.56217458844185,45.5457759528664,Rosemont - La Petite-Patrie,1628,1625,3253
Ontario / Ville-Marie,-73.534934520776,45.56001959585449,Mercier - Hochelaga-Maisonneuve,618,662,1280
Ottawa / William,-73.56406286358833,45.48972725318433,Le Sud-Ouest,801,962,1763
Ottawa / Young,-73.55977854693263,45.493709053274245,Le Sud-Ouest,11,15,26
Ottawa / du Séminaire,-73.56159925460815,45.4912954250061,Le Sud-Ouest,1387,1661,3048
Panet / Ste-Catherine,-73.55491518974304,45.52002998668944,Ville-Marie,20,29,49
Panet / de Maisonneuve,-73.55609618582093,45.52056694976339,Ville-Marie,45,49,94
