station,lon,lat,nb_depart,nb_arrivee,nb_total,arrondissement
Drummond / Ste-Catherine,-73.5741600394249,45.49861674293281,14412,12650,27062,Ville-Marie
Drummond / des-Canadiens-de-Montréal,-73.57027635600843,45.49676067752141,17234,15960,33194,Ville-Marie
Du Quesne / de Marseille,-73.54123055934906,45.575812361972055,3351,3749,7100,Mercier - Hochelaga-Maisonneuve
Dubois / Eadie,-73.59051011502743,45.45760820718457,4432,4739,9171,Le Sud-Ouest
Duchesneau / de Marseille,-73.52273898082785,45.60962627826218,1102,1193,2295,Mercier - Hochelaga-Maisonneuve
Dudemaine / James-Morrice,-73.69273205651552,45.534717640125805,605,670,1275,Ahuntsic-Cartierville
Duke / Nazareth,-73.55461344122887,45.49572236030835,6161,6638,12799,Ville-Marie
Duluth  / St-Denis,-73.57594907283782,45.52062760607925,27844,26719,54563,Le Plateau-Mont-Royal
Duluth / de l'Esplanade,-73.58105599880219,45.515132275425785,24617,19087,43704,Le Plateau-Mont-Royal
Dunkirk / Laird,-73.6423122882843,45.51588782124145,660,724,1384,Mont-Royal
Durocher / Beaumont,-73.61919969320297,45.52799772330074,8824,8920,17744,Villeray—Saint-Michel—Parc-Extension
Durocher / Bernard,-73.60668718814848,45.52222528598142,9990,10020,20010,Outremont
Durocher / Sherbrooke,-73.57227981090546,45.507088290505685,14510,11364,25874,Le Plateau-Mont-Royal
Duvernay / Charlevoix,-73.57487753033638,45.482097305112845,11006,12662,23668,Le Sud-Ouest
Dézéry / Ontario,-73.54702949523926,45.54095791741757,14140,17885,32025,Mercier - Hochelaga-Maisonneuve
Eadie / Galt,-73.59011898464814,45.46299810854156,3031,3152,6183,Le Sud-Ouest
Earnscliffe / Queen-Mary,-73.6303972452879,45.48184399150666,4743,4568,9311,Côte-des-Neiges - Notre-Dame-de-Grâce
Edouard-Montpetit / de Stirling,-73.61485987901688,45.50737888711866,88,93,181,Côte-des-Neiges - Notre-Dame-de-Grâce
Edouard-Montpetit/de Stirling,-73.61485987901688,45.50737888711866,7,14,21,Côte-des-Neiges - Notre-Dame-de-Grâce
Egan / Laurendeau,-73.58918591405198,45.45290792768395,3162,3407,6569,Le Sud-Ouest
Elgar / de l'Île-des-Sœurs,-73.546804189682,45.45682318753668,3673,3734,7407,Verdun
Ernest-Gendreau / du Mont-Royal,-73.56384828686714,45.549713734001415,6015,5691,11706,Rosemont - La Petite-Patrie
Esplanade / Rachel,-73.58359336853027,45.51631633525551,763,585,1348,Le Plateau-Mont-Royal
Everett / Garnier,-73.61220851540565,45.54758153109644,4537,4362,8899,Villeray—Saint-Michel—Parc-Extension
Fabre / Bélanger,-73.60490083694458,45.54531238320964,1020,1029,2049,Rosemont - La Petite-Patrie
Fabre / Laurier,-73.58259929347696,45.53458691154375,12983,12847,25830,Le Plateau-Mont-Royal
Fabre / St-Zotique,-73.60126135876271,45.543653916207866,9562,9196,18758,Rosemont - La Petite-Patrie
Fabrik8 (Waverly / Jean-Talon),-73.62082242965698,45.53330725719417,7717,8051,15768,Villeray—Saint-Michel—Parc-Extension
Faillon / St-Denis,-73.62026989459991,45.53989085278141,10844,9806,20650,Villeray—Saint-Michel—Parc-Extension
Fairmount / Hutchison,-73.59826556408734,45.51969064184933,10740,9961,20701,Le Plateau-Mont-Royal
Fernand-Lafontaine / Adoncour,-73.483912,45.5512193,652,723,1375,Longueuil
Fortune / Wellington,-73.559038,45.477923,7941,9031,16972,Le Sud-Ouest
Francis / Fleury,-73.6555677652359,45.56387237463668,3203,3490,6693,Ahuntsic-Cartierville
Frontenac / Ste-Catherine,-73.54559183120728,45.53006276144042,7014,7486,14500,Ville-Marie
Fullum / Gilford,-73.5737818479538,45.539198007249375,8590,8076,16666,Le Plateau-Mont-Royal
Fullum / Marie-Anne,-73.56803923845291,45.53650541861215,15553,14260,29813,Le Plateau-Mont-Royal
Fullum / Ontario,-73.5548669,45.5303174,8963,11059,20022,Ville-Marie
Fullum / Sherbrooke,-73.56228053569794,45.53378566312351,8454,5816,14270,Le Plateau-Mont-Royal
Fullum / Ste-Catherine,-73.54804444319598,45.527137816431285,8666,10245,18911,Ville-Marie
Fullum / Terrasse Mercure,-73.56593906879425,45.535541603465234,12918,11537,24455,Le Plateau-Mont-Royal
Fullum / de Rouen,-73.55892024004788,45.53225536243612,10790,13409,24199,Ville-Marie
Fullum / de Rouen_SWAP ECO 5,-73.55906910264821,45.53233051870004,44,18,62,Ville-Marie
Gagne / LaSalle,-73.601194024086,45.422451407155854,3779,3896,7675,LaSalle
Gare Centrale (de la Gauchetière / Mansfield),-73.5660799094876,45.49982531155875,26,23,49,Ville-Marie
Gare LaSalle (Highlands),-73.65713578464238,45.425612687757926,562,571,1133,LaSalle
Gare Lachine (Sir George Simpson / 48e avenue),-73.71091783046722,45.447821314280105,320,300,620,Lachine
Gare Montpellier (Muir / de la Côte-Vertu),-73.67169924080372,45.52374047147138,1447,1629,3076,Saint-Laurent
Gare St-Michel / Montréal-Nord (Pie-IX / 56e),-73.62978704273701,45.583197821913785,638,678,1316,Montréal-Nord
Gare d'autocars de Montréal (Berri / Ontario),-73.56425732374191,45.516926210319546,14707,17591,32298,Ville-Marie
Gare du Ruisseau (Dutrisac / Henri-Bourassa),-73.69254536926746,45.52814371649508,421,436,857,Saint-Laurent
Garnier / Beaubien,-73.59839379787445,45.54144823434163,6998,6671,13669,Rosemont - La Petite-Patrie
